station1,station2,line
Harrow & Wealdstone,Kenton,Bakerloo
Kenton,South Kenton,Bakerloo
South Kenton,North Wembley,Bakerloo
North Wembley,Wembley Central,Bakerloo
Wembley Central,Stonebridge Park,Bakerloo
Stonebridge Park,Harlesden,Bakerloo
Harlesden,Willesden Junction,Bakerloo
Willesden Junction,Kensal Green,Bakerloo
Kensal Green,Queen's Park,Bakerloo
Queen's Park,Kilburn Park,Bakerloo
Kilburn Park,Maida Vale,Bakerloo
Maida Vale,Warwick Avenue,Bakerloo
Warwick Avenue,Paddington,Bakerloo
Paddington,Edgware Road (Bakerloo),Bakerloo
Edgware Road (Bakerloo),Marylebone,Bakerloo
Marylebone,Baker Street,Bakerloo
Baker Street,Regent's Park,Bakerloo
Regent's Park,Oxford Circus,Bakerloo
Oxford Circus,Piccadilly Circus,Bakerloo
Piccadilly Circus,Charing Cross,Bakerloo
Charing Cross,Embankment,Bakerloo
Embankment,Waterloo,Bakerloo
Waterloo,Lambeth North,Bakerloo
Lambeth North,Elephant & Castle,Bakerloo
Elephant & Castle,Lambeth North,Bakerloo
Lambeth North,Waterloo,Bakerloo
Waterloo,Embankment,Bakerloo
Embankment,Charing Cross,Bakerloo
Charing Cross,Piccadilly Circus,Bakerloo
Piccadilly Circus,Oxford Circus,Bakerloo
Oxford Circus,Regent's Park,Bakerloo
Regent's Park,Baker Street,Bakerloo
Baker Street,Marylebone,Bakerloo
Marylebone,Edgware Road (Bakerloo),Bakerloo
Edgware Road (Bakerloo),Paddington,Bakerloo
Paddington,Warwick Avenue,Bakerloo
Warwick Avenue,Maida Vale,Bakerloo
Maida Vale,Kilburn Park,Bakerloo
Kilburn Park,Queen's Park,Bakerloo
Queen's Park,Kensal Green,Bakerloo
Kensal Green,Willesden Junction,Bakerloo
Willesden Junction,Harlesden,Bakerloo
Harlesden,Stonebridge Park,Bakerloo
Stonebridge Park,Wembley Central,Bakerloo
Wembley Central,North Wembley,Bakerloo
North Wembley,South Kenton,Bakerloo
South Kenton,Kenton,Bakerloo
Kenton,Harrow & Wealdstone,Bakerloo
Epping,Theydon Bois,Central
Theydon Bois,Debden,Central
Debden,Loughton,Central
Loughton,Buckhurst Hill,Central
Buckhurst Hill,Woodford,Central
Woodford,South Woodford,Central
South Woodford,Snaresbrook,Central
Snaresbrook,Leytonstone,Central
Leytonstone,Leyton,Central
Leyton,Stratford,Central
Stratford,Mile End,Central
Mile End,Bethnal Green,Central
Bethnal Green,Liverpool Street,Central
Liverpool Street,Bank,Central
Bank,St. Paul's,Central
St. Paul's,Chancery Lane,Central
Chancery Lane,Holborn,Central
Holborn,Tottenham Court Road,Central
Tottenham Court Road,Oxford Circus,Central
Oxford Circus,Bond Street,Central
Bond Street,Marble Arch,Central
Marble Arch,Lancaster Gate,Central
Lancaster Gate,Queensway,Central
Queensway,Notting Hill Gate,Central
Notting Hill Gate,Holland Park,Central
Holland Park,Shepherd's Bush (Central),Central
Shepherd's Bush (Central),White City,Central
White City,East Acton,Central
East Acton,North Acton,Central
North Acton,Hanger Lane,Central
Hanger Lane,Perivale,Central
Perivale,Greenford,Central
Greenford,Northolt,Central
Northolt,South Ruislip,Central
South Ruislip,Ruislip Gardens,Central
Ruislip Gardens,West Ruislip,Central
West Ruislip,Ruislip Gardens,Central
Ruislip Gardens,South Ruislip,Central
South Ruislip,Northolt,Central
Northolt,Greenford,Central
Greenford,Perivale,Central
Perivale,Hanger Lane,Central
Hanger Lane,North Acton,Central
North Acton,East Acton,Central
East Acton,White City,Central
White City,Shepherd's Bush (Central),Central
Shepherd's Bush (Central),Holland Park,Central
Holland Park,Notting Hill Gate,Central
Notting Hill Gate,Queensway,Central
Queensway,Lancaster Gate,Central
Lancaster Gate,Marble Arch,Central
Marble Arch,Bond Street,Central
Bond Street,Oxford Circus,Central
Oxford Circus,Tottenham Court Road,Central
Tottenham Court Road,Holborn,Central
Holborn,Chancery Lane,Central
Chancery Lane,St. Paul's,Central
St. Paul's,Bank,Central
Bank,Liverpool Street,Central
Liverpool Street,Bethnal Green,Central
Bethnal Green,Mile End,Central
Mile End,Stratford,Central
Stratford,Leyton,Central
Leyton,Leytonstone,Central
Leytonstone,Snaresbrook,Central
Snaresbrook,South Woodford,Central
South Woodford,Woodford,Central
Woodford,Buckhurst Hill,Central
Buckhurst Hill,Loughton,Central
Loughton,Debden,Central
Debden,Theydon Bois,Central
Theydon Bois,Epping,Central
Hainault,Fairlop,Central
Fairlop,Barkingside,Central
Barkingside,Newbury Park,Central
Newbury Park,Gants Hill,Central
Gants Hill,Redbridge,Central
Redbridge,Wanstead,Central
Wanstead,Leytonstone,Central
Hainault,Grange Hill,Central
Grange Hill,Chigwell,Central
Chigwell,Roding Valley,Central
Roding Valley,Woodford,Central
Leytonstone,Wanstead,Central
Wanstead,Redbridge,Central
Redbridge,Gants Hill,Central
Gants Hill,Newbury Park,Central
Newbury Park,Barkingside,Central
Barkingside,Fairlop,Central
Fairlop,Hainault,Central
North Acton,West Acton,Central
West Acton,Ealing Broadway,Central
Ealing Broadway,West Acton,Central
West Acton,North Acton,Central
Woodford,Roding Valley,Central
Roding Valley,Chigwell,Central
Chigwell,Grange Hill,Central
Grange Hill,Hainault,Central
Stratford,West Ham,Jubilee
West Ham,Canning Town,Jubilee
Canning Town,North Greenwich,Jubilee
North Greenwich,Canary Wharf,Jubilee
Canary Wharf,Canada Water,Jubilee
Canada Water,Bermondsey,Jubilee
Bermondsey,London Bridge,Jubilee
London Bridge,Southwark,Jubilee
Southwark,Waterloo,Jubilee
Waterloo,Westminster,Jubilee
Westminster,Green Park,Jubilee
Green Park,Bond Street,Jubilee
