station_name,latitude,longitude
Harrow & Wealdstone,51.592268,-0.335217
Kenton,51.581756,-0.31691
South Kenton,51.570232,-0.308433
North Wembley,51.562551,-0.304
Wembley Central,51.552304,-0.296852
Stonebridge Park,51.543959,-0.275892
Harlesden,51.53631,-0.257883
Willesden Junction,51.532259,-0.244283
Kensal Green,51.530539,-0.225016
Queen's Park,51.534158,-0.204574
Kilburn Park,51.534979,-0.194232
Maida Vale,51.529777,-0.185758
Warwick Avenue,51.523263,-0.183783
Paddington,51.516581,-0.175689
Edgware Road (Bakerloo),51.520299,-0.17015
Marylebone,51.522322,-0.163207
Baker Street,51.522883,-0.15713
Regent's Park,51.523344,-0.146444
Oxford Circus,51.515224,-0.141903
Piccadilly Circus,51.51005,-0.133798
Charing Cross,51.50741,-0.127277
Embankment,51.507058,-0.122666
Waterloo,51.503299,-0.11478
Lambeth North,51.498808,-0.112315
Elephant & Castle,51.494536,-0.100606
Epping,51.69368,0.113767
Theydon Bois,51.671759,0.103085
Debden,51.645386,0.083782
Loughton,51.641443,0.055476
Buckhurst Hill,51.626605,0.046757
Woodford,51.606899,0.03397
South Woodford,51.591907,0.027338
Snaresbrook,51.580678,0.02144
Leytonstone,51.568324,0.008194
Leyton,51.556589,-0.005523
Stratford,51.541806,-0.003458
Mile End,51.525122,-0.03364
Bethnal Green,51.527222,-0.055506
Liverpool Street,51.517372,-0.083182
Bank,51.513356,-0.088899
St. Paul's,51.514936,-0.097567
Chancery Lane,51.518247,-0.111583
Holborn,51.51758,-0.120475
Tottenham Court Road,51.516426,-0.13041
Bond Street,51.514304,-0.149723
Marble Arch,51.513424,-0.158953
Lancaster Gate,51.511723,-0.175494
Queensway,51.510312,-0.187152
Notting Hill Gate,51.509128,-0.196104
Holland Park,51.507143,-0.205679
Shepherd's Bush (Central),51.504376,-0.218813
White City,51.511959,-0.224297
East Acton,51.516612,-0.247248
North Acton,51.523524,-0.259755
Hanger Lane,51.530177,-0.292704
Perivale,51.536717,-0.323446
Greenford,51.542424,-0.34605
Northolt,51.548236,-0.368699
South Ruislip,51.556853,-0.398915
Ruislip Gardens,51.560736,-0.41071
West Ruislip,51.569688,-0.437886
Hainault,51.603659,0.093482
Fairlop,51.595618,0.091004
Barkingside,51.585689,0.088585
Newbury Park,51.575726,0.090004
Gants Hill,51.576544,0.066185
Redbridge,51.576243,0.04536
Wanstead,51.575501,0.028527
Grange Hill,51.613378,0.092066
Chigwell,51.617916,0.075041
Roding Valley,51.617199,0.043647
West Acton,51.518001,-0.28098
Ealing Broadway,51.515017,-0.301457
West Ham,51.528136,0.005055
Canning Town,51.513584,0.008322
North Greenwich,51.50047,0.004287
Canary Wharf,51.503488,-0.018246
Canada Water,51.497931,-0.049405
Bermondsey,51.49775,-0.063993
London Bridge,51.505721,-0.088873
Southwark,51.50427,-0.105331
Westminster,51.50132,-0.124861
Green Park,51.506947,-0.142787
St. John's Wood,51.534521,-0.173948
Swiss Cottage,51.543681,-0.174894
Finchley Road,51.546825,-0.179845
West Hampstead,51.546638,-0.191059
Kilburn,51.547183,-0.204248
Willesden Green,51.549146,-0.221537
Dollis Hill,51.551955,-0.239068
Neasden,51.553986,-0.249837
Wembley Park,51.563198,-0.279262
Kingsbury,51.584845,-0.27879
Queensbury,51.594188,-0.286219
Canons Park,51.607701,-0.294693
Stanmore,51.619839,-0.303266
Cockfosters,51.65152,-0.149171
Oakwood,51.647726,-0.132182
Southgate,51.632315,-0.127816
Arnos Grove,51.616446,-0.133062
Bounds Green,51.607034,-0.124235
Wood Green,51.597479,-0.109886
Turnpike Lane,51.590272,-0.102953
Manor House,51.570738,-0.096118
Finsbury Park,51.564158,-0.106825
Arsenal,51.558655,-0.107457
Holloway Road,51.552697,-0.113244
Caledonian Road,51.548519,-0.118493
King's Cross St. Pancras,51.530663,-0.123194
Russell Square,51.523073,-0.124285
Covent Garden,51.513093,-0.124436
Leicester Square,51.511386,-0.128426
Hyde Park Corner,51.503035,-0.152441
Knightsbridge,51.501669,-0.160508
South Kensington,51.494094,-0.174138
Gloucester Road,51.494316,-0.182658
Earl's Court,51.492063,-0.193378
Barons Court,51.490311,-0.213427
Hammersmith (Dist&Picc Line),51.4923,-0.22362
Turnham Green,51.495148,-0.254555
Acton Town,51.503057,-0.280462
Ealing Common,51.51014,-0.288265
North Ealing,51.517505,-0.288868
Park Royal,51.527123,-0.284341
Alperton,51.540627,-0.29961
Sudbury Town,51.550815,-0.315745
Sudbury Hill,51.556946,-0.336435
South Harrow,51.564888,-0.352492
Rayners Lane,51.575147,-0.371127
Eastcote,51.576506,-0.397373
Ruislip Manor,51.573202,-0.412973
Ruislip,51.571354,-0.421898
Ickenham,51.56445,-0.44431
Hillingdon,51.553715,-0.449828
Uxbridge,51.546565,-0.477949
South Ealing,51.501003,-0.307424
Northfields,51.499319,-0.314719
Boston Manor,51.495635,-0.324939
Osterley,51.481274,-0.352224
Hounslow East,51.473213,-0.356474
Hounslow Central,51.471295,-0.366578
Hounslow West,51.473469,-0.386544
Hatton Cross,51.466747,-0.423191
Heathrow Terminals 2 & 3,51.471235,-0.452265
Heathrow Terminal 5,51.470052,-0.49056
Heathrow Terminal 4,51.458524,-0.445771
Walthamstow Central,51.582965,-0.019885
Blackhorse Road,51.586919,-0.04115
Tottenham Hale,51.588108,-0.060241
Seven Sisters,51.58333,-0.072584
Highbury & Islington,51.54635,-0.103324
Euston,51.528344,-0.1323
Warren Street,51.524951,-0.138321
Victoria,51.496359,-0.143102
Pimlico,51.489097,-0.133761
Vauxhall,51.485743,-0.124204
Stockwell,51.472184,-0.122644
Brixton,51.462618,-0.114888
