station_name,x,y
Harrow & Wealdstone,0,1
Kenton,-4,0
South Kenton,-7,0
North Wembley,-7,0
Wembley Central,7,0
Stonebridge Park,7,0
Harlesden,5,0
Willesden Junction,-3,-1
Kensal Green,0,-1
Queen's Park,-1,1
Kilburn Park,0,1
Maida Vale,5,0
Warwick Avenue,-7,0
Paddington,0,-1
Edgware Road (Bakerloo),8,-0.75
Marylebone,-2,1
Baker Street,4,1.25
Regent's Park,2,1.25
Oxford Circus,7,-0.5
Piccadilly Circus,8,0
Charing Cross,-1,-1
Embankment,6,0
Waterloo,5,-1
Lambeth North,6,0
Elephant & Castle,0,-1
Epping,-4,0
Theydon Bois,-6,0
Debden,0,-1
Loughton,-4,0
Buckhurst Hill,-6,0
Woodford,-5,0
South Woodford,-7,0
Snaresbrook,-7,0
Leytonstone,-5,0
Leyton,-3,0
Stratford,-4,0
Mile End,0,-1
Bethnal Green,0,1
Liverpool Street,6,0
Bank,0,-1
St. Paul's,-4,0
Chancery Lane,0,1
Holborn,3,-1
Tottenham Court Road,0,1.5
Bond Street,-3.5,-1.5
Marble Arch,0,1
Lancaster Gate,0,-1.5
Queensway,0,-1.5
Notting Hill Gate,-5,1
Holland Park,3,-1
Shepherd's Bush (Central),0,-1
White City,4,0
East Acton,-1,-1
North Acton,2,1
Hanger Lane,-5,0
Perivale,-4,0
Greenford,-4,0
Northolt,-4,0
South Ruislip,6,0
Ruislip Gardens,4,1
West Ruislip,0,1
Hainault,-4,0
Fairlop,-3,0
Barkingside,-5,0
Newbury Park,0,-1
Gants Hill,0,1
Redbridge,0,1
Wanstead,0,1
Grange Hill,-6,0
Chigwell,0,1
Roding Valley,5,-1
West Acton,1,-1
Ealing Broadway,0,-1
West Ham,5,0
Canning Town,6,0
North Greenwich,0,-1
Canary Wharf,0,1
Canada Water,0,-1
Bermondsey,0,-1
London Bridge,0,1
Southwark,-2,1
Westminster,0,-1
Green Park,-5,0
St. John's Wood,6,0
Swiss Cottage,6,0
Finchley Road,1,1
West Hampstead,0,1
Kilburn,0,1
Willesden Green,-5,-1
Dollis Hill,-4,-1
Neasden,-5,0
Wembley Park,-6,0
Kingsbury,4,0
Queensbury,5,0
Canons Park,6,0
Stanmore,0,1
Cockfosters,-2,-1
Oakwood,4,0
Southgate,4,0
Arnos Grove,5,0
Bounds Green,-6,0
Wood Green,-5,0
Turnpike Lane,-6,0
Manor House,-6,0
Finsbury Park,-6,0
Arsenal,-4,0
Holloway Road,-6,0
Caledonian Road,-7,0
King's Cross St. Pancras,9,0
Russell Square,6,0
Covent Garden,6,0
Leicester Square,7, 0
Hyde Park Corner,-5,1
Knightsbridge,-6,0
South Kensington,2,-1
Gloucester Road,0,1
Earl's Court,1,-1
Barons Court,0,-1
Hammersmith (Dist&Picc Line),3,1.2
Turnham Green,0,-2
Acton Town,6,0
Ealing Common,6,0
North Ealing,-5,1
Park Royal,-5,0
Alperton,-4,0
Sudbury Town,-6,0
Sudbury Hill,-6,0
South Harrow,-6,0
Rayners Lane,0,1
Eastcote,0,1
Ruislip Manor,-4,1
Ruislip,2,-1
Ickenham,-4,0
Hillingdon,4,0
Uxbridge,0,-1
South Ealing,0,1
Northfields,3,-1
Boston Manor,4,-1
Osterley,-4,0
Hounslow East,6,0
Hounslow Central,0,-1
Hounslow West,0,1
Hatton Cross,3,-1
Heathrow Terminals 2 & 3,0,1
Heathrow Terminal 5,0,-1
Heathrow Terminal 4,0,-1
Walthamstow Central,0,-1
Blackhorse Road,-3,-1
Tottenham Hale,0,1
Seven Sisters,6,0
Highbury & Islington,8,0
Euston,-2,1
Warren Street,5,-0.5
Victoria,4,0
Pimlico,-4,0
Vauxhall,4,0
Stockwell,4,0
Brixton,0,-1
